WKT,Name,Detail,Number,Size,Latitude,Longitude,URL,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5
"POINT (138.3799336 34.9254929)",ETHNIC TOKYO,アパレル・アフリカンバスケット・カレンシルバーなど,56,3.0,34.9254929,138.3799336,https://ethnictokyo.com,https://drive.google.com/open?id=1flCQdK7B8ug8O7WdpbWebuL9H-E3MlHZ, https://drive.google.com/open?id=1DfagNsiiAsFh68ayO4LBwJJVMNGCRvd0, https://drive.google.com/open?id=1vff-79SyypFTYgDQ9kWVDKO5_DmK_d8D, https://drive.google.com/open?id=1bofms38YAV8QIi_3JaxG33Cwwau7XDt0,
"POINT (138.3798866 34.9254742)",Toko Ramai,アウトドアウェア、アウトドアグッズ、雑貨、ガラポン,57,3.0,34.9254742,138.3798866,https://www.instagram.com/tokoramai2,,,,,
"POINT (138.3798424 34.9254149)",ATELIER / m-no,リメイクアパレル,58,3.0,34.9254149,138.3798424,http://instagram.com/atelier_mno/,https://drive.google.com/open?id=1YPmzyimZeHnkDZKAilqutWZVHAWa5Gyh, https://drive.google.com/open?id=1pxwJCHW27_CGkzgsNpmGUd382Z47cZo-, https://drive.google.com/open?id=1MnRYs_xlSkvR6ZmDv1Iv_goWFwVCtKbF, https://drive.google.com/open?id=1MKfcgaDjLsFi5Z3mBeEqKgiDAGz3wshR, https://drive.google.com/open?id=1WyLC3r3-y8hH11KzrWJkIe4y5SOGv0kl
"POINT (138.3797981 34.9253929)",ｅｎ,オーガニックウエアー販売,59,3.0,34.9253929,138.3797981,https://www.instagram.com/en_shizuoka/,https://drive.google.com/open?id=1rP7M0wMMnHoihaBhXRCYKEDF-uI3Kr7B, https://drive.google.com/open?id=195TKlgXRIXg_qaz1PaLNRKOOqpUR6CYZ, https://drive.google.com/open?id=1kmzynKFQbV3S6Uo9rfQCnGUw684tQQUf, https://drive.google.com/open?id=1MnchIxB3nMgXZldlGdqJ2YWICaJJICEf, https://drive.google.com/open?id=1kqtV4qRG1_UF1rR3XYmMK8Ol6WZ1BPL9
"POINT (138.3798169 34.9254511)",流木ジョニー／古着ジェリー,流木雑貨、古着とレゲエイベント用エスニック雑貨などの販売。,60,3.0,34.9254511,138.3798169,https://@ryubokujohnny,https://drive.google.com/open?id=13tx72R8yOf1KhX-1rrxSuk4IlVX6mVeE, https://drive.google.com/open?id=1X5F8ZTZ7WqxWPCrXt09VZwle0Z37rWCk, https://drive.google.com/open?id=1BZf_4iRbfzzABMFpSrf7czhPwkTMJBEL, https://drive.google.com/open?id=1M2hToMBRNsjchnznfi9w_EslWAjm0ObU, https://drive.google.com/open?id=1_sfk8kHheNeragMNC3Aj5QOkGqvBgYJf
"POINT (138.379774 34.9254346)",HAE. vintage with Lab. Paper Dripper,海外古着とコーヒーと焼き菓子,61,3.0,34.9254346,138.379774,https://www.instagram.com/hae.vintage/       https://www.instagram.com/lab.paperdripper/,https://drive.google.com/open?id=1qDZc8Ds7qx8gmyEIC4KfMgk80lkA56n0, https://drive.google.com/open?id=1OiHfJ6_dutuudGOZIPEsg2HenL7AnhZ2, https://drive.google.com/open?id=16VJTTL7zkqZEiYNgxFsCAwgHqo3QIJRc, https://drive.google.com/open?id=1aWHJ4GqUh1DT6iyQSfFrVH-mLwbWTTNr, https://drive.google.com/open?id=16-oJPMn0SmOVCscskPhzN4vepxqHSn3O
"POINT (138.3791544 34.9251592)",アトリエクエスト,オリジナル木材雑貨、マクラメ作品、七宝作品、パラコード作品、レジン作品等,62,3.0,34.9251592,138.3791544,https://www.create-life.jp/,,,,,
"POINT (138.3791088 34.9251411)",ROTTENING,レザー、レジン製アクセサリー、着物小物、キッズアクセサリー,63,3.0,34.9251411,138.3791088,https://www.instagram.com/rotten_ing/,https://drive.google.com/open?id=1DZwzzU2XvB4ivgOGYZjYzs6xYQgculz0, https://drive.google.com/open?id=1lctMyFWcyoJfHe6XKj7BXk5NnLyrLM6k, https://drive.google.com/open?id=11MzQftJNlmcuSV14kqcWe7tfevn3svuI, https://drive.google.com/open?id=1o8lx_eA_N7tcmVg76MI1gi1U06L-33o5, https://drive.google.com/open?id=1Whd9pI2rTNHN_WKIOYA0EXR4E4K17925
"POINT (138.3791296 34.9251916)",yuni,アクセサリー（ピアス、イヤリング）,64,3.0,34.9251916,138.3791296,https://www.instagram.com/yuni__0223/profilecard/?igsh=MXM3aDR3NndlamsxZw==,https://drive.google.com/open?id=1Dl1h9-MSwPKeSYJJKvPyAXjd1oHOsj5M, https://drive.google.com/open?id=1Dm63edpPmpMRw8tjeIq5AyoG8p_3cgJP, https://drive.google.com/open?id=1QEsOGX3wpGPYeZ_ugMvprJSGqY5kRXlN, https://drive.google.com/open?id=1zU3fRbvIysCWRLglwI94-0ENbLQuJa71,
"POINT (138.379084 34.9251735)",sail accessory,ミニチュアのドリンクカップに毛糸や好きなパーツを１つ１つ選んで詰め込んで、オリジナルのキーホルダーを作ります,65,3.0,34.9251735,138.379084,https://www.instagram.com/sail.accessory?igsh=YnBld21pZ2VsZnl2&utm_souらrce=qr,https://drive.google.com/open?id=1m25MxizSPbpnSkZIFrj3KnsIOsrhc7XF, https://drive.google.com/open?id=1kMRIw8Pcx9QE9x63dyiN06E251GWUoua, https://drive.google.com/open?id=1Jg04AgXoJDE1cbxnfL1S64s2rQiIXLuN,,
"POINT (138.3792677 34.9253104)",Freedom&Hope,羊毛フェルト・アフリカ布雑貨他,66,3.0,34.9253104,138.3792677,https://www.instagram.com/freedom_3_3_hope,https://drive.google.com/open?id=1pI5O-KNkMhtNGBrudxlTG_Schj87XV81, https://drive.google.com/open?id=1mhQ2ndLiGj7Z65bKmxevKuu9nNeZm5k9, https://drive.google.com/open?id=1_es1QBLwO8DVCqDRWcnGy0vNAMAwbWy0, https://drive.google.com/open?id=1UcjIbXkwsYD2PP9pXzp_j1dcMcRKpYy3, https://drive.google.com/open?id=1EXvOLxkz6P7SPH-Y8QmnpBYAcRG-3LYi
"POINT (138.3792194 34.9252928)",AYANO knitting,あみぐるみ・ニット小物・雑貨,67,3.0,34.9252928,138.3792194,https://ayanoknitting.com/,https://drive.google.com/open?id=1q7VjE7j2u5rMZhWFpUnjhznRv4DvR_1P, https://drive.google.com/open?id=1EU2WpMg-8NAFKPPhvhAgyhaJVnz9QyK_, https://drive.google.com/open?id=1W4nWwtUQSmcNUplcASB135Y8YMBi3wUo,,
"POINT (138.3792456 34.9253384)",MUSUBI★Store,麻たわし、麻紐雑貨、精麻飾、わらじ、石笛等,68,3.0,34.9253384,138.3792456,https://musubistore.thebase.in/,https://drive.google.com/open?id=19G6HgS4wlaE0qeTGMjv54Xfv41-U8N_w, https://drive.google.com/open?id=1yJYi1Y1DNyzXqSBYlMfi5bxYrm0J_mbM, https://drive.google.com/open?id=1WYKi1HeANJpdhNE9d-0JnIIzhpDKhAFu, https://drive.google.com/open?id=1CGnOI5m7L2wHfHE0lQvnFr-PNwLY2hse,
"POINT (138.3791973 34.9253208)",YOPOOHRU,オリジナルイラストプリントウェア＆グッズ・カッティングステッカー,69,3.0,34.9253208,138.3791973,https://www.instagram.com/yopoohru/,https://drive.google.com/open?id=1ggOcwbVMi_dapLsqohvJkrdf7LuZRF0E,,,,
"POINT (138.379143 34.9252604)",yatri,インド伝統染めの手ぬぐい、スカーフ、ターバンなど布雑貨,70,3.0,34.9252604,138.379143,https://www.instagram.com/yatri_silkroad/,https://drive.google.com/open?id=11GzK70uKnlV-sSxP3KdYbxOWmJry9p3r, https://drive.google.com/open?id=1-4Zwdo-qOSxYDle1H20lJ6cfGlbWWETg, https://drive.google.com/open?id=1xCfYqRZcmSRDUMdgbM1Q-f8WCWx6h0R5, https://drive.google.com/open?id=1QIoek_JM2v_h1eHsUfGLFJuFlqIew9DN, https://drive.google.com/open?id=1R3mceQL6OrKLkc0fh52N3KE-OyL6uIZ7
"POINT (138.3791008 34.925245)",武器あります。,中世ヨーロッパで実際使用されていた武器のモチーフ、ドラゴンやグ+リフォンなど幻、(獣のモチーフシルバーアクセサリーです。 爪や牙など細部まで表現した作品 天然石水晶を使用した世界に一つの一点ものも ドラゴンベビーや猫やコウモリのイヤーカフなど女性にも人気です。,71,3.0,34.925245,138.3791008,https://minne.com/@m2sick　Xフォロワー数4000以上 https://x.com/m2sicksilver,https://drive.google.com/open?id=1eavgOaIpvB6BYCNvRLkhnfTjyCUJCPKN, https://drive.google.com/open?id=1MTS0zOClWDng1gQ526R2gTjvpbLV0NLR, https://drive.google.com/open?id=1WEPwAxr1s8SeF6nBf0EQxwuv-l28G9MC, https://drive.google.com/open?id=1cbJ-oDgdMFROFtGMpEAFSHOCCsA3nec8, https://drive.google.com/open?id=1ENGWw8ChwyIcggY8Q0g7UGK3N4g0Lmrb
"POINT (138.3791195 34.9252923)",HIMALAI TRiP MARKET & Sala Mehndi,タイダイ曼荼羅染め&オリジナルデザインTシャツ、雑貨販売。メヘンディ(ヘナタトゥー),72,3.0,34.9252923,138.3791195,https://himalai-trip-market.stores.jp/,https://drive.google.com/open?id=1BYDoB-P9lInEpyEJfK_FsatW8Yvp6Vbv, https://drive.google.com/open?id=1QmfGrsmx_k2EUrBi9SOtCE67ho2Bdo74, https://drive.google.com/open?id=1PUBEF2UmIPAZL66fuSsOU9tKWfqKmWRC, https://drive.google.com/open?id=14dBg8cu3b8h3I_ck80pE3I4yXqvyVwID, https://drive.google.com/open?id=1ncoJ11JhkcrEgUREF70reeP0_bv9Ou0W
"POINT (138.379078 34.9252785)",Cherie CoCo〜シェリーココ〜,トルコモザイクガラスワークショップと うぉーたーびーずアクアリウムワークショップ ハンドメイド雑貨販売,73,3.0,34.9252785,138.379078,https://www.instagram.com/cherie.coco77?igsh=MWo0dGZlbjhhaHkyMg==,https://drive.google.com/open?id=1tDxD39EkD-His1dTf_P9oghQ6rGZHE1A, https://drive.google.com/open?id=1HpJUtxWam69KzbIeaY78cym0d1_y8TWp, https://drive.google.com/open?id=1P9djqNXAIRszEGebZnnKcPnfnpQLbsn8, https://drive.google.com/open?id=1PxQBEe08YhQceNU5QR5YJumot0hDpepu, https://drive.google.com/open?id=1_eA8AQAVxLsNZiNCYAy3R4ucJ2w-3Yqr
"POINT (138.3790055 34.925218)",c.blue,オーシャンレジン、マクラメ編みのインテリア雑貨、アクセサリー販売,74,3.0,34.925218,138.3790055,https://www.instagram.com/d.s.k.666.masonlysurf,https://drive.google.com/open?id=18u40LMKxVJ5-s4ZJehqmF9ME8FslBbho, https://drive.google.com/open?id=1z_3gi0tNaOyPvj3oUi4XMRc-KcbhKOix, https://drive.google.com/open?id=1HFuXT8J1DGO11WdPo7k7XznRlYbNRX4A, https://drive.google.com/open?id=1vv0meD3bWYztuAvyRMcwcFbqhhqvD0xz,
"POINT (138.3790049 34.9252543)",タソガレリリー・and g,カラーセラピー、占い、ハンドメイドアクセサリー,75,3.0,34.9252543,138.3790049,,,,,,
"POINT (138.3789646 34.92524)",Qyuncandle(キュンキャンドル,グラデーションキャンドル作り体験,76,3.0,34.92524,138.3789646,https://www.instagram.com/qyuncandle,https://drive.google.com/open?id=1sVTs7L2la-9wxqCH9IeJBXx8dXUQ7G74, https://drive.google.com/open?id=14epAe-WyQGbDwGEp7SeJOo5JPp0ufGuM, https://drive.google.com/open?id=1vm057T7x1RTELbTSf2HvuRe9NfLD9nSE, https://drive.google.com/open?id=1zTEDMPb5B9JrCvLcXAn2bjenKel4j_FS, https://drive.google.com/open?id=12b7qIeC4brG3ZTPj5EpFkITAZYfdjRP_
"POINT (138.3789117 34.9251806)",KSL RESIN ART,海のレジンアート販売、ベアアートのワークショップ,77,3.0,34.9251806,138.3789117,https://www.instagram.com/ksl_resinart/profilecard/?igsh=MXRnMGtiYXZkaDU0eg==,https://drive.google.com/open?id=1XtLh0MMIgTAeTwFaQG8H8iBZwO4Bes61, https://drive.google.com/open?id=10bdZcDvUf4ZERJjGCZoq5EHmaLIwK_iT, https://drive.google.com/open?id=1ZN3DFcJAMFHOxqobYGALm4wO-8RG-ZP-, https://drive.google.com/open?id=1HHnpU5GVaBZfvUAQvpYbV2aom2CMCHst, https://drive.google.com/open?id=1qr85J2dJOB0BlzGU7s1ntuIOvPgelR-4
"POINT (138.3788694 34.9251609)",MOMONA Mermaid,ハワイアン雑貨、ハワイアンファブリックのハンドメイド布小物,78,3.0,34.9251609,138.3788694,,https://drive.google.com/open?id=1Eid6bg7WdOIjijJyBqxp7YoRtfxY4yU7,,,,
"POINT (138.3788902 34.9252114)",Merry,アクアビーズドームワークショップ　あみぐるみワークショップ,79,3.0,34.9252114,138.3788902,@merry.miyuki1007shop,https://drive.google.com/open?id=1cGRvueLT_t4_LH0Dxjt1vEYUCH9bRqx3, https://drive.google.com/open?id=196ZHreW2T4PIyVJYjRHs5eVA13nPuLA5, https://drive.google.com/open?id=1aG9rz2NG4OeQSeNWcu5PJf1taeVMgwHG, https://drive.google.com/open?id=1LwmHn0JVFzaUA86K47GtC0h_DhECB-ml,
"POINT (138.378848 34.9251938)",花十色-mimi-,風鈴、ドアベル、キーホルダーのワークショップ,80,3.0,34.9251938,138.378848,http://instagram.com/hanatoiro_mimi_,https://drive.google.com/open?id=1QqRXKjt_HrU23oPK7-tePPQ7Y29Zuyug, https://drive.google.com/open?id=1UVyUdQW0GjzrjvDBVs6NGBNLprjSQCbo, https://drive.google.com/open?id=1iYTFiQH1Svjf5hdlBv8Pqwc3S2hsjRjd, https://drive.google.com/open?id=1qplnak8FoO1tOsMm28j450RmJesZsook, https://drive.google.com/open?id=1z1T98AbnfQAyHtqLVTwcRl1oG1Ym4Nof
"POINT (138.378793 34.9251306)",coconuts,イニシャルキーホルダー、ワイヤーリングキーホルダーワークショップ,81,3.0,34.9251306,138.378793,@coconuts.handmade66,https://drive.google.com/open?id=1rdCgcSXOgK9CDd0la5wdOYwaLAs5eNVU, https://drive.google.com/open?id=1RmJzlXOOb20bichUt7k2LemEooJzY_zh, https://drive.google.com/open?id=1zz9qHYO_w_DImdBG03dDqRzS75rdvCFg, https://drive.google.com/open?id=1mbXdeX3OtbupUM9sP3F-qIRrqoxVxW6f, https://drive.google.com/open?id=1wd-jAbmJoJ2kfZwLxZo8kBtOWeL0dVxe
"POINT (138.3787521 34.925113)",maeum candle,アロマジェルキャンドル作り、フロートキャンドル作り、キャンドルすくい,82,3.0,34.925113,138.3787521,http://www.instagram.com/maeum.candle,https://drive.google.com/open?id=1DyYqQ0benjtIk9orWtMxoMDuE0PB7jPu, https://drive.google.com/open?id=1ZLw6_wCWlKnYqX47SUL6h82WGsDux3BA, https://drive.google.com/open?id=13EvDGHyGESr8Tuj03QjCZSFUIP64TfCn, https://drive.google.com/open?id=1eW8BgWi2ZhS6pJhlrsHKLngJJxIhu1QW, https://drive.google.com/open?id=1LKIFqjlZJlObg992AbM9WkfLisACSRT8
"POINT (138.3787735 34.9251653)",トコトコっち,スクイーズのデコレーション体験と端材を用いたロボットオブジェ作り体験,83,3.0,34.9251653,138.3787735,https://www.instagram.com/tocotocotti/,https://drive.google.com/open?id=1Cqi7FojooopwcyZyGrHcEXA6Tkoaw7U8, https://drive.google.com/open?id=1eSuWhvQ0-A0Rw9MuDKjLli0Zn-j-KrXj, https://drive.google.com/open?id=1n0J5Pw0EKdlP2yaa-trf9QHooeoh8xhC, https://drive.google.com/open?id=1ZbVX911vYPlZz3ahDiUnx1SzZ-7qOiDk, https://drive.google.com/open?id=1sR5BFRqKaeNo73E2JDE8pnlsm_YguxLA
"POINT (138.3787279 34.925151)",庵寿玲海Amy,ミニ水族館ボトリウム,84,3.0,34.925151,138.3787279,,https://drive.google.com/open?id=11kE_Aw170qB70kRQi34jmZJ7NNvtSgo3, https://drive.google.com/open?id=1GyeLqclGCFhXr06snCTBMeyCalxY9zX4, https://drive.google.com/open?id=1tsYT_SgsuLXEvoRces8peHetovhiJqmZ,,
"POINT (138.3791899 34.9254346)",HOME BEAT,ミニサウンド・システム販売,85,3.0,34.9254346,138.3791899,,,,,,
"POINT (138.3791021 34.9254039)",CORNERSHOP,レコード、CD販売,86,3.0,34.9254039,138.3791021,,,,,,
"POINT (138.3790297 34.9253857)",ウクレレ移動販売＆出張ワークショップ【イコレレ】,ウクレレや小物楽器の販売　ウクレレ演奏のワークショップ,87,3.0,34.9253857,138.3790297,https://note.com/iko15ico,https://drive.google.com/open?id=1qL4Jj5ZaYYATB0Zbc8t72x2RzsUPuugo, https://drive.google.com/open?id=1BEmxWLpMiUx94GK4Poti6vuq8G9KPfke, https://drive.google.com/open?id=1j1o21luZ1toIsrxOr5HGIBYR5unaIKRq, https://drive.google.com/open?id=18ojmaztPbc4GORvuIRJH956g8nPImtEs, https://drive.google.com/open?id=1TnuYwRXbojmlcDzu0fKq1vNikdLedBxY
"POINT (138.3789982 34.9253764)",陶工房修,陶器、ワークショップ,88,3.0,34.9253764,138.3789982,,,,,,
"POINT (138.378966 34.9253626)",Sachiのメタルクリエイト,アイアン製品(インテリア雑貨)、スツール等アイアン製品の販売。アイアンアートの展示,89,3.0,34.9253626,138.378966,https://www.instagram.com/sach_imetal/profilecard/?igsh=MXB6aXYxbG1yeG02eA==,https://drive.google.com/open?id=19tSA34W85iE88f3C8OT7O1lqOAuoc6Tq, https://drive.google.com/open?id=14HU3IJ0W3njZ9DHCMdG6F0kq71537VLN, https://drive.google.com/open?id=11wHicsaaV-od_NGYhYjnmP8Tf_QhBuGa, https://drive.google.com/open?id=18mcc4IrBGHtPh7k0dw9OTtRQkL6CbdFB, https://drive.google.com/open?id=1h41_KnrX58JibCnBuuV3md8WLBJl3PQN
"POINT (138.3789298 34.92535)",かなせっけん,せっけん、豆菓子、木工製品、お茶などの販売,90,3.0,34.92535,138.3789298,https://kananoie.shop-pro.jp/,,,,,
"POINT (138.3788956 34.9253362)",meChill整体salon,マッサージと足指裏マッサージ,91,3.0,34.9253362,138.3788956,https://www.instagram.com/mechill_sangobiyou.seitai/profilecard/?igsh=MWNsdmNla3Z2NmF1MA==,https://drive.google.com/open?id=1CR8UUFTIMdDwrcqqtayclp6Uvk_08mkg, https://drive.google.com/open?id=1nYBp-fppqPuyoOzA8kZcsy-g8_aPP8k4, https://drive.google.com/open?id=1dCFbUq4dU0PxJM5C_F6g_c4eRorOucoH,,
"POINT (138.378852 34.9253192)",sowaca,首・肩マッサージ、フットマッサージ、ベットでマッサージ,92,3.0,34.9253192,138.378852,https://www.instagram.com/p/Cy2Oc_vyvGB/?igsh=MWRldHFxZHcwN2ViMg==,,,,,
"POINT (138.3788071 34.9253016)",spika永田町,ハンドトリート20分、お肌の分析30分,93,3.0,34.9253016,138.3788071,https://www.instagram.com/pola_spika/profilecard/?igsh=MWg3bjF1Zzh6bTc5eg==,https://drive.google.com/open?id=1mcSGN6FRSfzLAJidB0H_ydckStcIRAGI, https://drive.google.com/open?id=1nTxIKe3DEf3wsC7YbH6lyydStro50lvb, https://drive.google.com/open?id=1krFoKlPFoLxm-BPOdkBgyy-K4s5U1x98, https://drive.google.com/open?id=1XA4WLh55Kn28rukI-VFVdAlrDHaWRYAb,
"POINT (138.3787641 34.9252857)",足流療術,足流療術,94,3.0,34.9252857,138.3787641,,https://drive.google.com/open?id=1lXBOQLU-aCfR0c9jwjbmXWTfOODXXHpT, https://drive.google.com/open?id=158OlBT3i2b-1zlZG4diZYRQ6HEWxE1iC, https://drive.google.com/open?id=1COPjR3b8HOuyj4vpxEs4uOdYm2AXAK61,,
"POINT (138.3787165 34.925267)",FUMIHEALING:GROUP,深リンパケア/スピリチュアル鑑定  ALL10分1000円,95,3.0,34.925267,138.3787165,https://www.instagram.com/fumihealing_deeplymph_school?igsh=NXVkd3BxZW4zYWtk,https://drive.google.com/open?id=1vl0xk2zXI5McfdgZdPpK7nd7lfMSzWn9, https://drive.google.com/open?id=1hRsoL8_robUBcDrEVQrzW6uSIhB0lh36, https://drive.google.com/open?id=1qiWuckXIYUaiQSQNH0FlQ1-v6kJhzRmX, https://drive.google.com/open?id=1yjBSKbU0_FPGwZz1kV65x-7ZJkaxLJi5, https://drive.google.com/open?id=1bA--eSBUGU96xkJ2ZiVT5qqEgNFJnNy-
"POINT (138.378687 34.9252384)",精神と時の部屋,テントサウナ,96,3.0,34.9252384,138.378687,,,,,,
"POINT (138.3786401 34.9252032)",明治安田,健康チェックブース,97,3.0,34.9252032,138.3786401,,,,,,
"POINT (138.3786092 34.9251669)",toooa+,うぉーたーぷにぷにワークショップ ぷにぷに石鹸ワークショップ ぷにぷにすくい 光るおもちゃくじ,98,3.0,34.9251669,138.3786092,@toooa.plus,https://drive.google.com/open?id=1W-fsRvyzyb5Wz6rVMN2g_WSmB8Hl0YkE, https://drive.google.com/open?id=11d_2tqIQlagnmgArcHwagy2SpDHlLv_Y, https://drive.google.com/open?id=1AIDrBfVayxeXzggJJyK_NgFzfOeyPem1, https://drive.google.com/open?id=1QQcSQKwvFQWCh-B9jp8SnoC1q5Kfcz_M, https://drive.google.com/open?id=1D-QledICQ35h1MoGj4atP6KFW0Awp6bX
"POINT (138.3785925 34.9251273)",MRK Caricatures,その場で似顔絵を描きます,99,3.0,34.9251273,138.3785925,https://instagram.com/mrk_caricatures,https://drive.google.com/open?id=1u5ZG4BHT9pfYa2mJePd7qDXuwF8OZivO, https://drive.google.com/open?id=1hbJv8lvpd4rvGvabN2pg7HHvSGCn6JO0, https://drive.google.com/open?id=17eHNiX1TvKXoddIxOMcvPNZ0FAZHJhz4, https://drive.google.com/open?id=1Ny5DXC2IOTaOHjSu5dVNt0xf6MUlqZ7-, https://drive.google.com/open?id=19o1EHOEbe6BfwZfxMuwN7a52O_FD1npC
"POINT (138.3785764 34.9250855)",バルーンゆっぴー,バルーン販売,100,3.0,34.9250855,138.3785764,,,,,,
"POINT (138.378561 34.9250443)",用宗を楽しくする会,用宗＆広野PRブース、食品晩梅,101,3.0,34.9250443,138.378561,,,,,,
"POINT (138.3785429 34.9250003)",縁日処,射的、スーパーボールすくい,102,3.0,34.9250003,138.3785429,https://www.instagram.com/ennichi_docoro?igsh=cGlmZ2V2YmljMWpm&utm_source=qr,https://drive.google.com/open?id=1JH-YHj2EyVZfPfClbG0CB42Ep_zimsWx, https://drive.google.com/open?id=1PzYpTUY2SARy_gWsPPWLGpaxZOwUKEQT,,,
"POINT (138.3805652 34.9255138)",フィリップモリス　アイコス,アイコス紹介/販促,103,5.0,34.9255138,138.3805652,,,,,,
"POINT (138.3796828 34.9255138)",4541 Village,杉本青果 (野菜販売) デルクス 39 (衣類販売) 運動するところ (マッサージ) 大黒屋 (駄菓子販売) RAI 4 (ベーコン等) 4541 (雑貨販売),104,8.0,34.9255138,138.3796828,,,,,,
"POINT (138.3787118 34.9248519)",Harbor Art Billage,よいこ共和国 (無農薬栽培コーヒー、 豆乳チャイ) 栄養灯台堂 (キャンドルワークショップ、販売) 黄桜じーじのガラス玉とけん玉屋さん (けん玉販売やWS) Green Island (おやつ、雑貨販売 ) KUKU (信州産りんごパイ、 焼き菓子、 三年番茶) 東静岡アートラボ (お絵描きワークショップ) HAPPY MONSTA (リサイクルペットボトル食器アート) お祭り【酒-sai-】 (射的、 型抜き、ふんどし販売),105,8.0,34.9248519,138.3787118,,,,,,

